101	102	103	104	105	106
11	1	11	2	2	2
2	2	2	1	2	2
999	1	1	7	3	2
2	2	2	2	2	2
1	1	1	1	1	1
2	2	2	2	2	2
1	2	1	2	1	1
1	9	2	1	9	2
2	9	9	5	5	5
1	1	2	2	1	2
2	2	2	1	2	2
1	1	2	1	9	9
2	2	2	2	2	2
9999	9999	9999	9999	9999	9999
1	1	2	2	2	2
1	1	9	1	2	2
2	2	2	3	1	2
1	1	1	1	1	2
1	2	2	2	9	2
1	9	2	8	9	1
1	1	1	8	1	2
1	1	9999	8	1	1
1	8	9999	8	1	2
2	2	2	2	1	2
4	4	2	2	4	4
2	2	2	2	1	2
6	6	6	1	1	6
3	9	2	3	3	2
2	2	9	2	2	2
1	8	9	8	1	1
1	8	9	8	1	1
1	8	9	8	9	1
1	1	2	1	1	2
1	8	9	8	8	1
1	4	2	1	4	4
1	8	9	8	8	1
1	8	8	8	8	1
1	8	2	8	1	2
7	7	7	7	7	7
999	3	9999	3	3	9
1	2	2	1	1	2
999	1	9	1	9999	1
999	3	9	1	3	2
999	1	9999	1	1	1
2	1	2	1	2	2
1	8	2	1	1	2
1	9	9	1	2	9
1	1	1	2	9	2
999	1	1	1	9	9
3	3	3	3	3	3
