101	102	103	104	105	106
2	2	1	2	2	2
999	3	9999	9999	999	3
1	1	1	2	1	1
7	7	2	7	7	7
1	1	1	2	2	1
2	2	2	7	2	2
2	2	2	7	2	2
9999	9999	9999	9999	9999	9999
3	3	3	3	3	3
9999	9999	9999	9999	9999	9999
2	7	2	7	2	2
1	1	1	1	1	1
1	9999	1	1	3	1
5	5	5	5	5	5
1	1	1	1	1	1
2	2	9999	2	2	2
2	2	2	2	2	1
1	1	1	1	9999	1
1	2	1	1	2	1
3	3	3	3	3	3
1	2	1	1	1	1
2	1	1	1	2	1
1	1	9999	1	1	1
3	3	3	3	3	3
1	1	1	1	1	1
1	1	1	1	9999	1
1	3	1	1	2	1
1	1	1	1	1	1
1	3	1	1	3	3
1	3	1	9999	1	1
1	4	1	1	1	1
1	1	1	1	1	1
1	2	9999	2	2	7
2	2	2	2	2	2
2	2	2	7	2	2
2	2	2	1	2	7
2	2	2	7	2	2
6	6	6	6	6	6
1	1	1	1	1	1
9999	3	1	1	9999	9999
1	4	1	1	1	1
999	3	9999	9999	1	3
1	1	9999	1	1	4
3	3	9999	3	3	3
9999	9999	1	1	9999	9999
9999	9999	1	1	9999	9999
1	1	2	2	1	1
9999	9999	3	3	9999	9999
6	6	9999	3	3	6
9999	9999	3	3	9999	9999
