101	102	105	107	108	
101	101	101	101	101	
999	103	103	103	999	
102	102	999	102	999	
105	105	105	105	105	
101	104	101	102	102	
102	103	104	102	102	
101	102	101	102	999	
101	101	101	101	101	
102	102	102	102	102	
105	105	105	103	105	
999	103	999	103	999	
101	102	101	101	101	
102	102	102	102	102	
102	102	102	107	107	
102	102	102	102	102	
999	999	999	999	999	
105	105	105	105	105	
102	102	102	102	102	
999	999	103	999	999	
102	101	101	101	101	
102	102	102	107	107	
999	101	101	101	101	
101	102	101	102	101	
101	101	104	101	999	
101	102	101	101	101	
105	105	105	105	105	
102	102	102	107	102	
101	101	101	101	101	
102	102	102	102	102	
102	102	107	107	107	
101	102	102	102	102	
102	102	102	102	102	
102	102	102	102	102	
101	101	101	101	101	
102	107	107	107	107	
102	102	102	102	102	
102	102	107	107	107	
105	105	105	105	105	
102	101	101	101	102	
102	107	107	102	107	
102	102	102	102	102	
105	105	105	105	105	
105	105	105	105	105	
103	101	101	103	101	
105	105	105	105	105	
105	105	105	105	105	
101	105	105	105	105	
103	101	101	103	101	
101	101	105	105	105	
103	103	103	103	103	
102	102	102	102	102	
102	102	102	102	102	
102	102	102	102	102	
102	101	105	105	105	
101	101	101	101	101	
101	101	101	101	101	
102	102	102	102	102	
101	101	105	105	105	
101	101	101	101	101	
102	102	102	102	102	
102	102	102	102	102	
103	103	106	103	103	
102	102	107	102	102	
102	102	107	107	107	
107	102	107	102	107	
107	107	102	102	107	
102	102	102	102	102	
101	101	101	101	102	
102	102	102	102	102	
102	101	102	102	102	
101	102	104	102	102	
101	101	101	101	101	
101	101	101	103	103	
101	101	101	102	102	
101	101	999	101	999	
103	102	103	103	999	
101	102	101	101	101	
102	102	102	102	102	
101	104	101	101	101	
101	101	101	101	101	
999	999	999	999	999	
101	104	105	105	105	
999	999	999	101	999	
101	105	105	105	105	
105	101	105	105	105	
999	999	999	999	999	
999	999	999	102	999	
102	102	999	102	102	
106	106	106	106	106	
102	102	999	102	999	
101	101	101	101	101	
101	102	102	102	102	
102	102	102	102	102	
101	101	104	101	104	
101	101	101	101	101	
102	102	102	102	102	
102	102	102	102	102	
