101	102	103	105	107	108	
101	103	101	102	101	103	
103	104	105	102	105	105	
101	102	999	102	999	999	
103	109	109	103	103	103	
999	999	999	999	999	999	
106	999	106	106	106	999	
104	104	104	104	104	102	
999	104	999	999	104	999	
101	101	101	105	105	107	
101	101	101	101	101	102	
105	102	102	102	102	102	
104	104	104	104	104	104	
105	109	106	105	106	105	
105	105	105	106	103	105	
101	999	101	999	999	999	
105	105	106	103	105	105	
102	102	102	102	102	111	
999	999	999	999	999	999	
105	106	106	105	109	108	
105	109	105	105	105	109	
105	102	104	105	105	105	
106	106	106	106	106	105	
106	106	105	103	106	999	
106	106	106	106	106	105	
106	106	106	106	106	106	
101	102	102	111	102	111	
101	999	999	104	101	107	
102	102	106	102	106	106	
105	101	103	105	105	105	
104	102	102	102	104	102	
101	104	101	105	101	107	
104	102	999	104	104	104	
105	104	104	104	103	104	
101	101	101	101	101	101	
101	101	101	101	101	101	
104	104	104	104	104	104	
103	103	103	105	109	103	
101	104	104	104	101	104	
105	106	106	106	106	106	
101	101	101	101	101	102	
104	104	104	104	104	104	
105	104	104	101	104	101	
104	103	104	105	104	104	
104	104	104	104	104	104	
101	101	101	101	101	101	
105	103	101	105	105	105	
101	104	102	101	101	107	
101	101	101	101	101	107	
101	102	101	101	101	105	
105	105	105	105	101	103	
106	106	106	106	106	106	
106	106	106	106	106	105	
105	104	106	106	106	105	
105	103	101	101	103	103	
101	101	101	101	101	102	
105	105	105	109	103	105	
999	999	999	999	999	999	
101	101	101	101	101	101	
102	102	102	102	102	102	
105	105	104	103	106	104	
104	104	104	104	104	104	
101	999	101	101	999	999	
104	104	104	104	104	104	
105	106	105	105	105	105	
101	101	101	101	101	101	
105	105	105	103	103	105	
104	102	102	102	102	111	
105	108	103	109	106	105	
101	101	101	101	101	101	
105	105	105	105	103	106	
999	999	999	999	999	999	
106	106	106	106	106	106	
104	104	104	104	104	104	
105	106	106	109	106	109	
106	104	102	101	101	105	
101	101	101	101	101	102	
101	102	101	102	102	102	
106	104	103	106	105	105	
101	101	101	101	101	101	
101	101	101	103	101	102	
105	104	105	106	103	103	
104	104	104	104	104	104	
999	104	106	106	999	999	
104	104	104	104	104	999	
104	104	104	104	104	104	
999	999	999	999	999	999	
101	103	103	103	101	107	
104	104	104	102	104	101	
104	104	104	104	104	104	
999	999	999	999	999	999	
101	104	101	102	102	102	
105	104	101	103	101	101	
105	105	105	105	109	105	
101	104	101	102	102	102	
101	101	101	103	101	102	
101	101	101	103	101	102	
105	106	105	105	106	999	
104	104	104	104	104	104	
