101	102
3	3
1	1
7	7
7	7
2	3
7	7
2	1
2	3
2	3
7	7
1	1
1	3
1	3
7	7
1	3
1	3
1	3
1	1
1	3
1	1
2	2
1	1
1	1
1	3
2	2
1	3
1	3
1	3
2	2
1	3
1	1
7	7
2	2
1	1
1	3
1	3
2	2
1	3
1	3
1	3
1	3
1	3
1	3
1	1
1	3
1	3
1	1
1	3
4	999
1	3
1	1
1	1
1	3
1	3
1	3
1	1
1	3
7	7
1	1
1	3
1	3
1	3
1	3
4	999
1	3
7	7
1	3
1	3
1	3
1	3
1	1
1	3
1	7
1	1
1	3
2	2
1	3
1	3
1	1
1	3
1	3
1	3
1	3
1	7
1	3
1	1
1	3
1	1
1	1
1	3
1	3
1	1
1	1
1	3
7	7
1	3
2	2
1	3
1	3
1	3
1	1
1	7
1	3
1	3
7	7
1	1
1	3
7	7
1	1
1	3
1	3
1	1
1	3
1	3
1	3
1	3
1	3
999	3
1	3
1	1
1	3
1	3
1	3
1	3
1	1
1	3
1	1
1	3
1	3
1	3
1	1
1	3
1	3
1	1
1	3
1	1
1	3
7	7
1	3
1	3
1	3
1	3
1	1
