101	102
3	3
1	1
1	1
4	999
1	2
1	2
1	1
1	1
999	999
1	1
1	1
1	2
3	3
4	4
1	2
999	999
1	1
4	4
1	1
999	999
1	1
1	2
1	2
1	2
4	4
999	999
1	2
1	2
3	4
1	2
3	3
3	3
1	2
3	3
1	1
1	2
999	999
999	999
1	2
1	1
999	999
1	2
1	2
1	2
1	1
4	4
1	2
1	2
1	1
1	2
4	4
1	1
1	2
1	2
999	999
1	2
999	999
3	3
1	1
1	1
999	999
3	3
1	2
1	2
4	4
1	2
1	2
1	2
999	999
4	999
1	1
1	2
1	1
1	2
1	2
1	1
1	2
3	3
1	1
1	1
1	1
1	2
1	1
1	2
4	4
999	999
1	1
1	2
1	2
1	2
1	1
4	4
1	2
1	2
4	4
1	2
1	3
4	4
999	999
4	4
999	999
999	4
999	999
4	4
999	999
999	4
2	999
4	4
1	2
1	1
999	999
4	4
999	999
4	4
4	4
1	3
4	4
4	4
4	4
4	4
999	999
4	4
4	4
4	4
4	4
999	999
4	4
4	4
